city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
alofi,77.0,-19.06,-169.92,88,4,10.29,NU,1587213815
thompson,-2.2,55.74,-97.86,70,40,6.93,CA,1587213815
touros,78.8,-5.2,-35.46,94,75,4.7,BR,1587213815
xianyang,54.0,34.34,108.7,81,90,8.95,CN,1587213815
cordoba,66.0,-31.41,-64.18,67,0,5.82,AR,1587213728
orlik,31.06,52.52,99.83,51,89,4.74,RU,1587213816
goose creek,70.0,32.98,-80.03,88,90,9.17,US,1587213816
sumbe,71.6,-11.21,13.84,71,90,4.7,AO,1587213816
avarua,75.2,-21.21,-159.78,83,1,3.36,CK,1587213816
barra patuca,78.4,15.8,-84.28,80,20,5.68,HN,1587213816
kieta,79.77,-6.22,155.63,81,98,6.29,PG,1587213817
valparaiso,48.2,-33.04,-71.63,93,40,5.7,CL,1587213778
korla,64.08,41.76,86.15,34,100,10.98,CN,1587213545
upernavik,25.75,72.79,-56.15,96,100,20.6,GL,1587213817
coahuayana,73.4,18.73,-103.68,49,20,2.24,MX,1587213817
carnarvon,77.0,-24.87,113.63,88,16,9.17,AU,1587213817
general pico,60.49,-35.66,-63.76,45,10,14.94,AR,1587213818
whitehorse,30.2,60.72,-135.05,80,20,3.36,CA,1587213603
poum,78.71,-20.23,164.02,76,100,12.97,NC,1587213818
geraldton,73.4,-28.77,114.6,73,69,10.29,AU,1587213818
yellowknife,12.99,62.46,-114.35,72,40,8.05,CA,1587213634
ribeira grande,62.6,38.52,-28.7,93,75,12.75,PT,1587213818
faanui,82.76,-16.48,-151.75,66,100,6.22,PF,1587213818
kahului,71.6,20.89,-156.47,73,40,12.75,US,1587213819
shenjiamen,59.13,29.96,122.3,77,39,12.55,CN,1587213819
katsuura,60.8,35.13,140.3,67,20,23.04,JP,1587213819
mount gambier,50.0,-37.83,140.77,93,90,3.36,AU,1587213819
ulaanbaatar,33.8,47.91,106.88,86,40,17.9,MN,1587213734
kalininsk,49.87,51.5,44.48,44,27,15.03,RU,1587213819
plettenberg bay,74.66,-34.05,23.37,42,10,5.66,ZA,1587213820
guamuchil,57.99,25.47,-108.1,97,43,1.48,MX,1587213529
vostok,40.57,46.49,135.88,69,100,2.64,RU,1587213820
hasaki,54.0,35.73,140.83,81,20,4.7,JP,1587213820
biltine,101.01,14.53,20.92,6,34,5.88,TD,1587213820
codrington,54.97,-38.27,141.97,73,82,5.26,AU,1587213820
kovdor,33.66,67.57,30.48,80,99,13.38,RU,1587213821
scarborough,50.0,54.28,-0.4,77,87,1.99,GB,1587213821
college,39.0,64.86,-147.8,93,90,2.37,US,1587213691
port elizabeth,75.2,-33.92,25.57,64,14,14.99,ZA,1587213821
havoysund,37.4,71.0,24.66,69,75,11.41,NO,1587213821
maunabo,82.0,18.01,-65.9,100,54,5.99,PR,1587213821
georgetown,87.8,5.41,100.34,79,20,8.05,MY,1587213822
hobyo,88.47,5.35,48.53,60,89,13.15,SO,1587213822
bonavista,33.01,48.65,-53.11,67,48,11.99,CA,1587213822
aguimes,71.6,27.91,-15.45,60,75,12.75,ES,1587213822
guerrero negro,57.65,27.98,-114.06,80,1,12.17,MX,1587213823
izhma,41.34,65.01,53.91,81,97,2.17,RU,1587213823
