city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
meadow lake,75.99,34.8,-106.54,10,20,14.99,US,1587074140
lagoa,59.31,39.05,-27.98,81,12,16.93,PT,1587074140
avarua,82.4,-21.21,-159.78,65,84,4.7,CK,1587074140
saskylakh,-12.35,71.92,114.08,89,0,0.76,RU,1587074140
tuktoyaktuk,19.4,69.45,-133.04,85,90,18.34,CA,1587074041
coquimbo,66.2,-29.95,-71.34,63,17,11.41,CL,1587074140
mirnyy,8.6,62.54,113.96,78,74,8.95,RU,1587074141
dunedin,46.99,-45.87,170.5,86,100,1.01,NZ,1587074141
bethel,48.2,41.37,-73.41,24,75,18.34,US,1587074141
sumbe,77.86,-11.21,13.84,86,7,3.49,AO,1587074141
luderitz,57.2,-26.65,15.16,82,82,18.34,NA,1587074141
mount gambier,55.4,-37.83,140.77,93,90,10.29,AU,1587074141
faanui,82.99,-16.48,-151.75,69,27,10.22,PF,1587074141
russellville,72.0,35.28,-93.13,34,1,8.05,US,1587074142
pevek,12.38,69.7,170.31,95,97,2.19,RU,1587074142
lebu,63.52,-37.62,-73.65,67,11,10.69,CL,1587073866
husavik,41.0,66.04,-17.34,65,36,16.11,IS,1587073929
georgetown,82.4,5.41,100.34,88,20,3.36,MY,1587074066
airai,61.32,-8.93,125.41,67,11,3.02,TL,1587074064
altay,41.0,47.87,88.12,40,15,5.1,CN,1587074142
sanming,61.7,26.25,117.62,69,0,3.24,CN,1587074142
port elizabeth,59.0,-33.92,25.57,82,0,4.7,ZA,1587074143
aklavik,33.8,68.22,-135.01,86,90,18.34,CA,1587074143
cururupu,79.84,-1.83,-44.87,82,72,1.21,BR,1587074143
chabahar,80.74,25.29,60.64,57,44,4.16,IR,1587074143
castro,56.7,-24.79,-50.01,42,0,1.36,BR,1587074067
talara,80.06,-4.58,-81.27,60,72,15.37,PE,1587073854
nome,34.0,64.5,-165.41,100,90,14.99,US,1587073852
dori,91.87,14.04,-0.03,8,60,8.99,BF,1587074144
verkhnevilyuysk,6.51,63.45,120.32,94,16,4.72,RU,1587074144
carnarvon,73.4,-24.87,113.63,73,29,8.05,AU,1587074073
east london,64.27,-33.02,27.91,64,0,6.89,ZA,1587074144
petropavlovsk-kamchatskiy,37.4,53.05,158.65,74,75,1.74,RU,1587074144
sestri levante,55.0,44.27,9.4,62,0,1.12,IT,1587074144
broken hill,50.0,-31.95,141.43,71,85,6.93,AU,1587074145
gavle,39.0,60.67,17.14,45,63,7.0,SE,1587074132
anadyr,14.0,64.75,177.48,92,20,11.18,RU,1587073914
kavieng,78.91,-2.57,150.8,89,100,19.51,PG,1587074145
khvoynaya,32.31,58.9,34.53,86,16,9.44,RU,1587074146
ixtapa,78.8,20.7,-105.2,61,75,11.41,MX,1587073922
nevelsk,28.4,46.67,141.86,86,25,7.96,RU,1587074146
saldanha,59.0,-33.01,17.94,87,100,4.7,ZA,1587074146
kaitangata,46.99,-46.28,169.85,80,100,1.99,NZ,1587074147
bengkulu,77.67,-3.8,102.27,83,100,6.67,ID,1587074147
cidreira,67.93,-30.18,-50.21,71,5,12.97,BR,1587074147
calvinia,55.47,-31.47,19.78,38,0,1.54,ZA,1587073891
nanortalik,32.4,60.14,-45.24,96,100,3.74,GL,1587074147
kamthi,82.4,21.23,79.2,39,20,3.36,IN,1587074147
ponta delgada,57.2,37.73,-25.67,76,20,5.82,PT,1587074147
lasa,53.6,46.62,10.7,38,20,2.24,IT,1587074147
aykhal,-2.2,66.0,111.5,84,99,6.71,RU,1587074148
hualmay,77.94,-11.1,-77.61,60,24,10.09,PE,1587073873
port blair,82.87,11.67,92.75,74,91,4.03,IN,1587074148
barrow,15.8,71.29,-156.79,85,90,10.29,US,1587074148
nikolskoye,37.4,59.7,30.79,85,20,13.42,RU,1587074148
ilulissat,35.6,69.22,-51.1,55,78,11.41,GL,1587074040
katsuura,50.0,35.13,140.3,66,75,9.17,JP,1587074040
west bay,86.0,19.37,-81.42,79,20,9.17,KY,1587074149
dali,52.61,25.7,100.18,37,8,3.58,CN,1587074149
zhicheng,68.25,30.3,111.5,54,100,3.22,CN,1587074149
necochea,61.0,-38.55,-58.74,89,26,1.99,AR,1587074149
hasaki,48.2,35.73,140.83,66,75,8.05,JP,1587074149
thasra,86.0,22.8,73.22,42,20,9.17,IN,1587074149
bara,90.19,10.37,10.73,10,0,10.94,NG,1587074149
laguna,81.0,38.42,-121.42,38,1,4.03,US,1587074150
upernavik,27.82,72.79,-56.15,91,100,10.65,GL,1587074150
dom pedrito,65.52,-30.98,-54.67,65,81,6.42,BR,1587074150
libona,69.06,8.34,124.74,74,34,2.42,PH,1587074150
dalvik,41.0,65.97,-18.53,65,10,16.11,IS,1587074150
ambilobe,74.8,-13.2,49.05,77,20,7.47,MG,1587073883
moyale,69.76,3.52,39.06,66,72,3.44,KE,1587074150
beya,43.23,53.05,90.91,51,93,9.48,RU,1587074151
kenora,33.8,49.82,-94.43,65,75,16.11,CA,1587073925
flinders,66.99,-34.58,150.86,93,20,8.05,AU,1587074151
acapulco,82.4,16.86,-99.89,78,5,9.17,MX,1587074151
katherine,73.4,-14.47,132.27,83,94,3.6,AU,1587074151
svetlyy,41.0,54.67,20.13,93,72,4.47,RU,1587073882
virginia beach,63.0,36.85,-75.98,50,20,11.41,US,1587074152
bardoli,78.8,21.12,73.12,66,73,6.26,IN,1587074152
pisco,78.01,-13.7,-76.22,30,0,19.46,PE,1587074153
chokurdakh,-9.17,70.63,147.92,91,98,8.12,RU,1587074037
